,Popularity
1953,72.0
1642,69.0
943,69.0
286,40.0
1593,64.0
1710,54.0
598,49.0
1258,76.0
1464,52.0
1626,73.0
1576,78.0
1034,70.0
1222,43.0
1417,63.0
892,55.0
1758,49.0
1299,57.0
1009,52.0
609,53.0
1050,56.0
788,50.0
1412,63.0
1884,71.0
493,51.0
1310,62.0
277,60.0
1835,69.0
358,74.0
1875,72.0
236,51.0
551,33.0
1856,78.0
1717,77.0
208,52.0
1376,65.0
1549,69.0
58,77.0
631,60.0
1573,53.0
1848,74.0
1566,58.0
363,40.0
505,82.0
1773,63.0
1512,51.0
1592,68.0
1319,26.0
1078,58.0
1379,49.0
888,29.0
118,76.0
1814,48.0
757,31.0
522,85.0
513,48.0
81,48.0
1324,57.0
1489,47.0
380,41.0
1368,58.0
1677,72.0
84,72.0
1666,60.0
329,43.0
6,74.0
736,27.0
1054,72.0
1523,81.0
861,66.0
451,66.0
490,31.0
1470,49.0
287,80.0
1359,63.0
1972,68.0
1358,49.0
1622,65.0
1429,67.0
1406,66.0
1690,55.0
1446,57.0
1352,72.0
1449,55.0
1946,80.0
1639,66.0
327,53.0
442,65.0
765,19.0
1073,69.0
1302,61.0
865,66.0
177,47.0
1347,54.0
1708,70.0
86,42.0
1602,38.0
1886,72.0
457,40.0
1817,72.0
54,67.0
1491,69.0
643,54.0
677,80.0
221,75.0
113,59.0
968,63.0
1220,42.0
985,63.0
174,78.0
772,16.41172473422101
589,41.0
1548,68.0
18,46.0
423,53.0
1333,66.0
285,66.0
1572,67.0
428,75.0
1943,72.0
741,32.0
669,55.0
31,57.0
926,68.0
1554,47.0
214,80.0
1565,74.0
326,48.0
560,30.0
1106,66.0
700,75.0
1466,68.0
1182,50.0
341,52.0
629,68.0
147,54.0
1190,51.0
360,43.0
83,58.0
48,67.0
468,76.0
155,64.0
1557,66.0
1898,50.0
1193,76.0
1392,72.0
1575,44.0
1619,54.0
500,52.0
1023,59.0
179,49.0
1041,60.0
1461,65.0
1381,68.0
1483,62.0
1608,76.0
528,65.0
346,53.0
1511,75.0
1947,63.0
1944,76.0
1959,46.0
1178,33.0
601,61.0
1043,48.0
243,43.0
1588,48.0
1061,60.0
1465,49.0
312,43.0
435,60.0
1885,71.0
1613,56.0
308,65.0
430,58.0
660,63.0
370,47.0
566,77.0
965,69.0
181,70.0
1718,46.0
621,41.0
808,66.0
1185,61.0
938,63.0
1934,66.0
1829,59.0
1318,60.0
1067,63.0
296,40.0
889,56.0
461,84.0
1292,60.0
1169,31.0
377,33.0
1096,67.0
105,75.0
126,75.0
1124,64.0
906,47.0
355,67.0
1605,60.0
682,87.0
802,77.0
859,60.0
209,67.0
1669,67.0
140,69.0
1427,59.0
1329,50.0
1053,46.0
1563,55.0
1089,67.0
879,50.0
711,67.0
1340,56.0
1144,70.0
1440,63.0
10,49.0
1683,71.0
1117,74.0
282,55.0
810,63.0
1851,53.0
291,62.0
754,80.0
626,16.41172473422101
1833,69.0
849,69.0
129,56.0
1389,62.0
323,61.0
1084,78.0
832,60.0
949,48.0
1853,53.0
1928,67.0
1672,49.0
695,82.0
215,51.0
1036,78.0
1251,40.0
158,59.0
1052,67.0
974,61.0
634,68.0
516,67.0
1418,62.0
1510,68.0
597,49.0
195,59.0
1632,68.0
857,71.0
410,36.0
96,62.0
986,37.0
932,53.0
156,66.0
419,37.0
1791,50.0
477,67.0
1844,69.0
668,78.0
1033,65.0
1859,71.0
1289,69.0
447,29.0
553,59.521766006351626
178,50.0
390,78.0
578,47.0
993,66.0
1709,63.0
1421,55.0
1696,57.0
886,77.0
820,60.0
1378,68.0
1240,71.0
1344,65.0
664,66.0
142,42.0
1506,73.0
1419,57.0
864,68.0
421,49.0
636,46.0
1822,77.0
799,71.0
1567,70.0
615,76.0
294,66.0
1428,37.0
916,61.0
1889,69.0
88,43.0
41,53.0
1790,37.0
1920,75.0
131,36.0
987,49.0
1941,73.0
1063,74.0
1843,71.0
1334,54.0
1488,33.0
164,76.0
724,78.0
290,42.0
1630,73.0
1524,72.0
1883,66.0
1004,64.0
1351,75.0
778,67.0
839,74.0
348,76.0
1931,59.0
571,27.0
962,62.0
1874,64.0
1458,56.0
1580,71.0
1307,52.0
1010,55.0
458,33.0
375,49.0
1965,60.0
333,52.0
1854,47.0
1749,50.0
1447,76.0
816,47.0
1173,60.0
990,63.0
1892,63.0
1540,61.0
1740,47.0
910,72.0
1916,60.0
1456,49.0
328,53.0
1029,67.0
318,63.0
1519,51.0
1537,74.0
1721,65.0
167,73.0
12,34.0
1913,45.0
171,56.0
649,62.0
1055,49.0
260,43.0
1206,38.0
1399,54.0
901,58.0
672,27.0
258,60.0
844,71.0
867,66.0
1187,47.0
138,64.0
893,75.0
1826,69.0
549,79.0
319,35.0
1516,49.0
1228,79.0
1170,77.0
558,48.0
139,60.0
1723,54.0
531,47.0
224,69.0
723,69.0
786,37.0
1706,35.0
1492,81.0
409,26.0
325,63.0
1331,71.0
299,52.0
1252,48.0
1133,73.0
25,50.0
1847,67.0
714,62.0
994,43.0
193,52.0
440,18.0
573,52.0
946,42.0
503,70.0
605,16.41172473422101
1165,49.0
1314,26.0
1775,45.0
846,76.0
3,76.0
1226,65.0
1771,40.0
467,33.0
321,72.0
5,45.0
222,32.0
1364,73.0
547,77.0
228,70.0
39,42.0
542,65.0
242,74.0
898,66.0
1487,61.0
136,63.0
1552,48.0
1744,31.0
1561,54.0
1018,70.0
829,60.0
445,47.0
842,71.0
1080,76.0
1761,62.0
1688,40.0
1813,79.0
581,42.0
1753,59.0
1956,59.0
661,49.0
1612,39.0
314,57.0
691,80.0
1493,57.0
424,59.0
594,59.0
1950,69.0
622,78.0
1163,69.0
1037,66.0
227,45.0
1111,83.0
1664,73.0
1091,70.0
66,56.0
24,16.41172473422101
144,64.0
536,32.0
811,64.0
1113,67.0
85,42.0
1176,68.0
1861,75.0
1793,81.0
1940,82.0
1362,74.0
1137,70.0
362,36.0
1600,41.0
1230,64.0
1026,54.0
1030,73.0
1210,67.0
1345,45.0
1393,62.0
665,44.0
364,58.0
77,57.0
27,71.0
1738,51.0
525,58.0
1823,77.0
55,43.0
638,63.0
302,47.0
718,36.0
624,16.41172473422101
7,69.0
803,72.0
1049,48.0
336,56.0
47,65.0
1469,48.0
106,75.0
349,77.0
1079,66.0
238,66.0
213,80.0
1244,58.0
1131,52.0
793,32.0
1116,64.0
1571,71.0
1660,54.0
523,49.0
232,64.0
644,83.0
1497,71.0
533,76.0
1498,61.0
603,74.0
1202,84.0
1074,72.0
1881,69.0
60,32.0
1467,53.0
92,49.0
666,54.0
280,40.0
1107,56.0
359,66.0
1395,66.0
1850,74.0
847,72.0
1855,62.0
110,74.0
42,74.0
125,75.0
204,59.0
52,69.0
545,67.0
68,55.0
1472,61.0
1536,61.0
183,44.0
137,54.0
899,54.0
796,28.0
132,67.0
80,45.0
1767,39.0
541,69.0
1948,77.0
983,65.0
165,74.0
248,51.0
446,42.0
1455,50.0
858,68.0
1204,72.0
97,38.0
1960,60.0
737,30.0
1245,45.0
102,56.0
434,75.0
74,67.0
1780,60.0
1788,56.0
918,74.0
1873,63.0
1659,64.0
1609,74.0
762,84.0
989,48.0
388,72.0
235,79.0
1628,64.0
267,71.0
1860,57.0
117,71.0
1657,47.0
673,24.0
249,77.0
1442,38.0
1981,66.0
94,32.0
33,74.0
1453,59.0
1656,64.0
448,67.0
716,50.0
1764,46.0
1507,31.0
0,71.0
1530,68.0
1101,38.0
1108,56.0
1610,68.0
82,70.0
1278,75.0
676,76.0
1441,40.0
1046,52.0
770,60.0
1208,60.0
1270,41.0
1569,62.0
1908,74.0
404,54.0
1716,74.0
1288,67.0
1330,60.0
104,58.0
688,78.0
1450,45.0
826,67.0
62,48.0
852,79.0
1343,83.0
223,32.0
145,43.0
1088,69.0
373,49.0
1730,53.0
1142,52.0
1815,44.0
1803,41.0
1933,43.0
1452,49.0
9,82.0
449,53.0
708,80.0
255,47.0
882,82.0
389,59.0
908,69.0
924,62.0
1692,74.0
1689,60.0
460,66.0
1259,66.0
1168,62.0
958,69.0
501,51.0
739,65.0
1838,53.0
868,72.0
731,28.0
539,77.0
1201,46.0
697,41.0
1754,51.0
1366,67.0
1145,73.0
1031,80.0
372,62.0
667,41.0
1962,41.0
357,78.0
967,69.0
783,50.0
735,65.0
1035,78.0
970,66.0
1514,69.0
1476,61.0
1841,78.0
1480,68.0
1682,68.0
1704,67.0
1236,45.0
885,75.0
79,45.0
1172,63.0
814,62.0
1284,59.0
671,70.0
1521,49.0
57,44.0
133,52.0
1140,44.0
933,64.0
1673,74.0
823,29.0
1214,52.0
504,34.0
1763,69.0
347,61.0
386,75.0
1024,54.0
894,64.0
828,57.0
1880,73.0
475,39.0
1460,41.0
1961,44.0
1386,66.0
652,60.0
172,64.0
1149,39.0
38,72.0
713,48.0
90,19.0
1923,76.0
1205,58.0
875,58.0
1341,67.0
1877,61.0
1093,51.0
1155,83.0
1353,56.0
1945,78.0
499,66.0
338,63.0
1188,77.0
28,48.0
1217,31.0
1315,64.0
1809,45.0
945,57.0
169,50.0
1394,76.0
1197,56.0
1253,43.0
1777,50.0
912,78.0
491,19.0
953,48.0
1097,40.0
1032,56.0
587,43.0
750,85.0
657,61.0
234,70.0
732,38.0
1975,45.0
1621,61.0
1156,54.0
1985,65.0
1414,53.0
1616,69.0
934,76.0
1209,47.0
1065,68.0
108,72.0
1531,39.0
568,60.0
1167,50.0
1174,51.0
890,53.0
947,74.0
1048,73.0
1342,57.0
1361,50.0
1436,54.0
884,74.0
